"text","label","title","rating"
"This movie is amazing! I loved every minute of it.","1","The Shawshank Redemption","9.2"
"I didn't like this movie. It was too long and boring.","0","The Godfather","8.5"
"This is the best movie ever! The acting is superb.","1","The Dark Knight","9.0"
"I'm not a fan of this movie. The plot is too predictable.","0","Inception","8.8"
"This movie is a masterpiece! The direction is flawless.","1","The Lord of the Rings: The Return of the King","9.2"
"I was disappointed with this movie. The characters are underdeveloped.","0","Pulp Fiction","8.9"
"This movie is a work of art! The cinematography is stunning.","1","The Matrix","8.7"
"I didn't enjoy this movie. The pacing is too slow.","0","Forrest Gump","8.8"
"This movie is a classic! The dialogue is witty and engaging.","1","The Princess Bride","8.8"
"This film is a disaster! The acting is terrible.","0","The Room","2.8"
"I loved this movie! The special effects are amazing.","1","Avatar","8.5"
"This movie is boring! The plot is too predictable.","0","The Happening","4.8"
"This film is a masterpiece! The direction is flawless.","1","The Social Network","8.6"
"I didn't enjoy this movie. The characters are underdeveloped.","0","The Last Airbender","4.4"
"This movie is a work of art! The cinematography is stunning.","1","Inglourious Basterds","8.3"
"I was disappointed with this movie. The plot is too predictable.","0","The Twilight Saga: Eclipse","4.8"
"This movie is a classic! The dialogue is witty and engaging.","1","Monty Python and the Holy Grail","8.4"
"This film is a disaster! The acting is terrible.","0","Birdemic: Shock and Terror","1.8"
"I loved this movie! The special effects are amazing.","1","The Avengers","8.1"
"This movie is boring! The plot is too predictable.","0","The Last Song","4.9"
"This film is a masterpiece! The direction is flawless.","1","12 Angry Men","9.0"
"I didn't enjoy this movie. The characters are underdeveloped.","0","The Apparition","4.4"
"This movie is a work of art! The cinematography is stunning.","1","Schindler's List","9.0"
"I was disappointed with this movie. The plot is too predictable.","0","The Sorcerer's Apprentice","4.7"
"This movie is a classic! The dialogue is witty and engaging.","1","The Big Lebowski","8.1"
"This film is a disaster! The acting is terrible.","0","Troll 2","2.8"
"I loved this movie! The special effects are amazing.","1","Interstellar","8.1"
"This movie is boring! The plot is too predictable.","0","The Happening","4.8"
"This film is a masterpiece! The direction is flawless.","1","The Dark Knight","9.0"
"I didn't enjoy this movie. The characters are underdeveloped.","0","The Last Airbender","4.4"
"This movie is a work of art! The cinematography is stunning.","1","Inception","8.8"
"I was disappointed with this movie. The plot is too predictable.","0","The Twilight Saga: Eclipse","4.8"
"This movie is a classic! The dialogue is witty and engaging.","1","Monty Python and the Holy Grail","8.4"
"This film is a disaster! The acting is terrible.","0","Birdemic: Shock and Terror","1.8"
"I loved this movie! The special effects are amazing.","1","The Avengers","8.1"
"This movie is boring! The plot is too predictable.","0","The Last Song","4.9"
"This film is a masterpiece! The direction is flawless.","1","12 Angry Men","9.0"
"I didn't enjoy this movie. The characters are underdeveloped.","0","The Apparition","4.4"
"This movie is a work of art! The cinematography is stunning.","1","Schindler's List","9.0"
"I was disappointed with this movie. The plot is too predictable.","0","The Sorcerer's Apprentice","4.7"
"This movie is a classic! The dialogue is witty and engaging.","1","The Big Lebowski","8.1"
"This film is a disaster! The acting is terrible.","0","Troll 2","2.8"
"I loved this movie! The special effects are amazing.","1","Interstellar","8.1"
